CLEAN_ANSWER,LANGUAGE,EMOJIS,SENTIMENT
الاهتمام بالزبون وشرح كل تقاصيل المنتج والشروط والأحكام  بخصوص المتج التوصيل والتركيب بواسطة الموظف قبل إتمام عملية الشراء وتحمل مسؤلية القصور في اي مرحلة واطالب بتعويض عن الضرر الذي لحق بي من هذا القبيل,ar,,Positive
شكراً لكم .. التوصيل في وقته المناسب,ar,,Positive
سرعة الاجابه والدقه في التوصيل,ar,,Positive
Already paid for product but didn't receive item for past 10 days and your staff at Unaizah branch don't give concret answer,en,,Negative
Variety & competitive prices,en,,Positive
تعامل الموظفه جدا كويس وراقي,ar,,Positive
يكون فيه قسم خاص لذوي الاحتياجات الخاصه,ar,,Neutral
لا,ar,,Neutral
مدري,fa,,Positive
Delivery and installation employees must be prohibited from asking for extra fees that are not included in the service invoice… it's a shame that an employee of extra charges extra for installation services that were already paid for,en,,Negative
الاتصال بوقت مبكر جدا ( 10 صباحا )مع طلبه لموقع المنزل بالاضافة الى توصيله للشحنة الساعة 3:30 عصرا,ar,,Positive
can we book a maintenance schedule through online  plateform?,en,,Negative
لا يوجد شيء أوصي به. الخدمه ممتازه,ar,,Neutral
Staff behaviour very stupidity on date 16 night 9:30pm  he is cahiser first of all train him how to deal with customers,en,,Negative
Thanks,en,,Positive
‏يوجد الكثير من الموظفين في إكسترا من غير نافع,ar,,Negative
Good best Salesman best price,en,,Positive
ضمان اكسترا رائع جدا ويستحق ثمنه,ar,,Positive
شرح الموظف للمنتجات مثل السابق,ar,,Positive
أقترح ان يكون هناك شرح تفصيلي اكثر لمكونات المنتج عند التسوق عبر الموقع,ar,,Neutral
جودة التركيب فقط,ar,,Negative
حبذا من يقوم بالتوصيل عنده معلومة ولو بسيطة عن المنتج وليس عامل توصيل (حمال فقط) لا يعرف قيمة المنتج وأهميته والية التعامل معه .,ar,,Neutral
خدمة التوصيل ممتازه و التركيب ايضاً شكراً جزيلاً,ar,,Positive
شكرااا,ar,,Positive
Thankful,en,,Positive
إمكانية تحديد اليوم بنفسي,ar,,Positive
لا شي,ar,,Neutral
للجوده,ar,,Positive
توصيل الطلب سيئه جدا,ar,,Positive
Good,so,,Positive
اعتقد الية ان الموظف لا يقوم بالتوصيل حتى يستلم رمز التسليم اليه غير جيدة نامل النظر فيها ودمتم,ar,,Negative
لايوجد,ar,,Neutral
شكرا لكم,ar,,Positive
مممتاز,ar,,Positive
شغل ممتاز وراقي في التعامل,ar,,Positive
شكرا,ar,,Positive
شكرا لاكسترا,ar,,Positive
شغل جميل ورائع,ar,,Positive
I did not know who was delivering what u til the courier contacted me. At least do the curtesy of telling your customers which courier will deliver what. Not the date but at least the company name or something…,en,,Negative
Best service,fr,,Positive
Don't send dirty filthy replacements to your customers,en,,Negative
شكرا لكم استمروا,ar,,Positive
جميع بطاقات فيزا وليست بطاقه واحده,ar,,Negative
ممتازينا,ar,,Positive
تعامل خدمة العملاء  في المعرض,ar,,Positive
thank you so much,en,,Positive
"The sales executive tried to push sell another brand product, even though I clearly mentioned which brand I wanted.",en,,Negative
لا,ar,,Neutral
التوصيل الموظفين سيئين غير متعاونين,ar,,Negative
"اضافة لوحة تفاعلية بعد بوابة الدخول، بحيث تسمح للزبون اخذ نبذة سريعة عن الاشياء الموجودة في المعرض مع الاسعار",ar,,Positive
الكونترول للأجهزة تكون موحدة وليس كل جهاز في كونتر معين عملية الدفع تكون كذا مرة,ar,,Negative
شكرا,ar,,Positive
Your card offers are not mentioned properly,en,,Negative
لا يوجد رد من الرد الالي كل ما اتصل ما احد يرد على مكالاماتي واجلس نص ساعة,ar,,Negative
.xbox,so,,Positive
الاقتراح يكون للعميل قدره انه يختار وقت التوصيل اذا صباحي او مسائي افضل ما يجي عامل التوصيل و يحط لي الشحنه برا لمده اكثر من ٦ ساعات,ar,,Negative
اضافة محافظة الحناكية في خيارات التوصيل المنزلي,ar,,Positive
انتقاء شركات تركيب مكيفات محترمة وليست عمالة مجهولة من موسسات صغيرة تسئ لاكسترا في تركيب المكيفات,ar,,Negative
الساىق لم يرضى يوصل الطلب بعد ما أخذ حق المشوار وأنا طالب التوصيل مجاني,ar,,Negative
لابد يكونو فنيين فاهمين,ar,,Negative
شكرا للمبييعات,ar,,Positive
Nothing,en,,Neutral
Well Done,de,,Positive
Did the work professionally,en,,Positive
فريق الصيانه أروع ناس ونعم فيهم واتمنى تعطونهم مكافأة يستاهلون ما قصرو معي أبدا,ar,,Positive
من افضل ما يكون,ar,,Positive
لم يحظر فني الصيانه,ar,,Negative
Thanks,en,,Positive
لم يكمل العمل وجاء مستعجل وقال بكرة اجيك والى اليوم ماجاني,ar,,Negative
سرعة الإصلاح,ar,,Positive
اتمنى يكون للعملاء نظام نقاط ويتم استبدالها عن طريكم,ar,,Positive
الاهتمام اكثر بالعميل بخصوص الاسعار,ar,,Neutral
شكرا استاذ ياسر,fa,,Positive
الاستجابة بطيئة ولم يتم فهم المشكلة ولا حلها,ar,,Negative
Thanks extra,en,,Positive
لا يوجد,ar,,Neutral
الجهاز جربتة عند الاستلام لا زال عطلان طيب ليش ترسلي رسالة وتقول تعال استلم,ar,,Negative
من خلال تعاملي مع الشركة وما وجدته من انطباع الناس انكم اسواء شركة في الية الصيانة والتعامل مع العميل فقد عانيت جدا حتى وصلت اليكم للأسف,ar,,Positive
لا يوجد,ar,,Neutral
لم يتم اصلاح العطل - تم العمل بشكل جزئي ولكن لم يتم الاصلاح / تعامل الفريق  جيد,ar,,Negative
لم يتم تصليح العطل كذالك اود التواصل مع الاداره,ar,,Negative
"I have bought a laptop with extra insurance coverage but unfortunately I'm leaving saudi in couple of months so I went back to return the insurance only as I won't need it anymore ,I asked the staff and after waiting for almost half an hour , they told me that it has already passed 7 days from preached date which was round counting he added an extra day to make it 8 days and refused to refund my insurance coverage which was very disappointing.",en,,Negative
ممتاز جدا,fa,,Positive
Great maintenance service i had a great experience last time,en,,Positive
الكاشيير يتأخر كثيرا في خدمة الزبائن مساء بشكل مزعج,ar,,Positive
شكرا احمد,ar,,Positive
خفض الاسعار,ar,,Negative
Specislist Sales person should b at their respective product location all times to educate the customer,en,,Positive
تواجد الموظفين في امكان العرض,ar,,Positive
خدمه ممتازه وشرح وافي,ar,,Positive
Expert technicians needs to be sent out with delivery team to ensure proper installation,en,,Positive
العمل على سهولة الموقع وانسيابيته,ar,,Positive
You must have professional delivery team has a good communication skills,en,,Positive
Thank you,en,,Positive
توفير كميرات جديده من سوني وجميع اصدراتها ب اسعار ارخص من امازونن,ar,,Positive
Make your employees know what they are saling,en,,Positive
Nice,ro,,Positive
رفعه كفاءة فريق الصيانه لعملىالصيانه بشكل افضل,ar,,Positive
توفير ممارات واسعه في المعارض,ar,,Positive
"Clear delivery process, ability to change, answering queries on phone and WhatsApp, storing my purchase history to review with clear details",en,,Positive
الا اتعامل معكم مرة اخرى,ar,,Negative
اقترح ان يكون هناك استلام لجميع المنتجات من المعرض مباشره,ar,,Neutral
ممتاز,ar,,Positive
عروض ممتازه وحقيقية,ar,,Positive
